concept_id,category,subtype,canonical_ja,canonical_en,canonical_zh,aliases_ja,aliases_en,aliases_zh,source,source_row,status,notes
item_glove_2,item_name,accessory,グローブ[2],Glove [2],防禦手套[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,glove-2,approved,
item_rosary_2,item_name,accessory,ロザリオ[2],Rosary [2],幸運珠鍊[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,rosary-2,approved,
item_matyrs_leash_2,item_name,accessory,マーターの首輪[2],Matyr's Leash [2],黑狐項鍊[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,matyrs-leash-2,approved,
item_sarahs_incense_bag_2,item_name,accessory,サラの香袋[2],Sarah's Incense Bag [2],沙拉的香包[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,sarahs-incense-bag-2,approved,
item_critical_ring_2,item_name,accessory,クリティカルリング[2],Critical Ring [2],潛能戒指[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,critical-ring-2,approved,
item_ring_2,item_name,accessory,リング[2],Ring [2],力量戒指[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,ring-2,approved,
item_spiritual_ring_2,item_name,accessory,スピリチュアルリング[2],Spiritual Ring [2],精靈戒指[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,spiritual-ring-2,approved,
item_earring_2,item_name,accessory,イヤリング[2],Earring [2],智力耳環[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,earring-2,approved,
item_expert_ring_2,item_name,accessory,エキスパートリング[2],Expert Ring [2],強化指環[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,expert-ring-2,approved,
item_necklace_2,item_name,accessory,ネックレス[2],Necklace [2],體力項鍊[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,necklace-2,approved,
item_sacred_incense_2,item_name,accessory,退魔の香袋[2],Sacred Incense [2],辟邪香包[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,sacred-incense-2,approved,
item_nile_rose_2,item_name,accessory,ナイルローズ[2],Nile Rose [2],尼羅玫瑰[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,nile-rose-2,approved,
item_brooch_2,item_name,accessory,ブローチ[2],Brooch [2],敏捷別針[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,brooch-2,approved,
item_orleans_glove_2,item_name,accessory,オルレアンの手袋[2],Orleans' Glove [2],奧爾里昂的手套[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,orleans-glove-2,approved,
item_celebrants_mitten_2,item_name,accessory,賢者の手袋[2],Celebrant's Mitten [2],智慧手套[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,celebrants-mitten-2,approved,
item_renown_archers_gloves_2,item_name,accessory,名射手のグローブ[2],Renown Archer's Gloves [2],射手的手套[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,renown-archers-gloves-2,approved,
item_golden_foot_ring_2,item_name,accessory,金の足輪[2],Golden Foot Ring [2],金足戒指[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,golden-foot-ring-2,approved,
item_angelic_ring_2,item_name,accessory,エンジェリックリング[2],Angelic Ring [2],天使指環[2],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,angelic-ring-2,approved,
item_burglar_ring_1,item_name,accessory,怪盗の指輪[1],Burglar Ring [1],怪盜戒指[1],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,burglar-ring-1,approved,
item_dark_knight_gloves_1,item_name,accessory,暗黒騎士の手袋[1],Dark Knight Gloves [1],黑暗騎士手套[1],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dark-knight-gloves-1,approved,
item_divine_queen_bracelet_1,item_name,accessory,天后の腕輪[1],Divine Queen Bracelet [1],天后的手環[1],,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,divine-queen-bracelet-1,approved,
item_dawn_armor,item_name,equipment,曙光の鎧,Dawn Armor,曙光之鎧,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-armor,approved,
item_dawn_mantle,item_name,equipment,曙光のマント,Dawn Mantle,曙光之披風,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-mantle,approved,
item_dawn_boots,item_name,equipment,曙光の靴,Dawn Boots,曙光之靴,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-boots,approved,
item_dawn_shield,item_name,equipment,曙光の盾,Dawn Shield,曙光之盾,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-shield,approved,
item_dawn_blade,item_name,equipment,曙光の刃,Dawn Blade,曙光之刃,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-blade,approved,
item_dawn_sword,item_name,equipment,曙光の剣,Dawn Sword,曙光之劍,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-sword,approved,
item_dawn_claymore,item_name,equipment,曙光の大剣,Dawn Claymore,曙光之巨劍,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-claymore,approved,
item_dawn_scythe,item_name,equipment,曙光の鎌,Dawn Scythe,曙光之鐮,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-scythe,approved,
item_dawn_spear,item_name,equipment,曙光の槍,Dawn Spear,曙光之槍,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-spear,approved,
item_dawn_hatchet,item_name,equipment,曙光の斧,Dawn Hatchet,曙光之斧,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-hatchet,approved,
item_dawn_axe,item_name,equipment,曙光の大斧,Dawn Axe,曙光之巨斧,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-axe,approved,
item_dawn_hammer,item_name,equipment,曙光のハンマー,Dawn Hammer,曙光之錘,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-hammer,approved,
item_dawn_scepter,item_name,equipment,曙光の杖,Dawn Scepter,曙光之杖,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-scepter,approved,
item_dawn_staff,item_name,equipment,曙光の長杖,Dawn Staff,曙光之權杖,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-staff,approved,
item_dawn_bow,item_name,equipment,曙光の弓,Dawn Bow,曙光之弓,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-bow,approved,
item_dawn_fist,item_name,equipment,曙光の拳,Dawn Fist,曙光之拳,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-fist,approved,
item_dawn_guitar,item_name,equipment,曙光の楽器,Dawn Guitar,曙光之樂,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-guitar,approved,
item_dawn_whip,item_name,equipment,曙光の鞭,Dawn Whip,曙光之鞭,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-whip,approved,
item_dawn_book,item_name,equipment,曙光の書,Dawn Book,曙光之章,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-book,approved,
item_dawn_katar,item_name,equipment,曙光のカタール,Dawn Katar,曙光之拳刃,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-katar,approved,
item_dawn_crossbow_blade,item_name,equipment,曙光の弩刃,Dawn Crossbow Blade,曙光之弩刃,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-crossbow-blade,approved,
item_dawn_foxtail_grass,item_name,equipment,曙光の猫じゃらし,Dawn Foxtail Grass,曙光之狐尾草,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:name_*,dawn-foxtail-grass,approved,
item_type_accessory,item_type,accessory,アクセサリー,Accessory,飾品,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,glove-2|rosary-2|matyrs-leash-2|sarahs-incense-bag-2|critical-ring-2|ring-2|spiritual-ring-2|earring-2|expert-ring-2|necklace-2|sacred-incense-2|nile-rose-2|brooch-2|orleans-glove-2|celebrants-mitten-2|renown-archers-gloves-2|golden-foot-ring-2|angelic-ring-2|burglar-ring-1|dark-knight-gloves-1|divine-queen-bracelet-1,approved,
item_type_armor,item_type,armor,防具,Armor,盔甲,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-armor,approved,
item_type_cloak,item_type,cloak,肩にかける物,Cloak,披風,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-mantle,approved,
item_type_off_hand,item_type,off_hand,サブウェポン,Off-Hand,副手,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-shield,approved,
item_type_shoes,item_type,shoes,靴,Shoes,鞋子,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-boots,approved,
item_type_weapon_book,item_type,weapon_book,武器・本,Weapon-Book,武器・書,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-book,approved,
item_type_weapon_bow,item_type,weapon_bow,武器・両手弓,Weapon-Bow,武器・雙手弓,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-bow,approved,
item_type_weapon_katar,item_type,weapon_katar,武器・カタール,Weapon-Katar,武器・拳刃,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-katar,approved,
item_type_weapon_knuckles,item_type,weapon_knuckles,武器・ナックル,Weapon-Knuckles,武器・拳套,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-fist,approved,
item_type_weapon_1h_axe,item_type,weapon_1h_axe,武器・片手斧,Weapon·1H Axe,武器・單手斧,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-hatchet,approved,
item_type_weapon_1h_spear,item_type,weapon_1h_spear,武器・片手槍,Weapon·1H Spear,武器・單手矛,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-scythe,approved,
item_type_weapon_1h_sword,item_type,weapon_1h_sword,武器・片手剣,Weapon·1H Sword,武器・單手劍,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-sword,approved,
item_type_weapon_2h_axe,item_type,weapon_2h_axe,武器・両手斧,Weapon·2H Axe,武器・雙手斧,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-axe,approved,
item_type_weapon_2h_spear,item_type,weapon_2h_spear,武器・両手槍,Weapon·2H Spear,武器・雙手矛,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-spear,approved,
item_type_weapon_2h_sword,item_type,weapon_2h_sword,武器・両手剣,Weapon·2H Sword,武器・雙手劍,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-claymore,approved,
item_type_weapon_crossbow_blade,item_type,weapon_crossbow_blade,武器・ボウブレード,Weapon·Crossbow Blade,武器・弩刃,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-crossbow-blade,approved,
item_type_weapon_dagger,item_type,weapon_dagger,武器・短剣,Weapon·Dagger,武器・短劍,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-blade,approved,
item_type_weapon_foxtail_grass,item_type,weapon_foxtail_grass,武器・猫じゃらし,Weapon·Foxtail Grass,武器・狐尾草,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-foxtail-grass,approved,
item_type_weapon_mace,item_type,weapon_mace,武器・鈍器,Weapon·Mace,武器・鈍器,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-hammer,approved,
item_type_weapon_musical_instrument,item_type,weapon_musical_instrument,武器・楽器,Weapon·Musical Instrument,武器・樂器,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-guitar,approved,
item_type_weapon_staff,item_type,weapon_staff,武器・両手杖,Weapon·Staff,武器・雙手杖,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-staff,approved,
item_type_weapon_wand,item_type,weapon_wand,武器・片手ロッド,Weapon·Wand,武器・單手杖,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-scepter,approved,
item_type_weapon_whip,item_type,weapon_whip,武器・鞭,Weapon·Whip,武器・鞭子,,,,PATH_TO_EQUIPMENT_ITEMS_final.csv:type_*,dawn-whip,approved,
effect_fortitude_of_dark_knight,effect_name,set,暗黒騎士の決意,Fortitude of Dark Knight,黑暗騎士的堅決,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dark-knight-gloves-1-set-01,approved,
effect_fortitude_of_dark_knight_i,effect_name,set,暗黒騎士の決意 I,Fortitude of Dark Knight I,黑暗騎士的堅決 I,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dark-knight-gloves-1-set-04,approved,
effect_lament_of_fensalir,effect_name,set,フリッグの嘆き,Lament of Fensalir,芬撒里爾的嘆息,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,divine-queen-bracelet-1-set-04,approved,
effect_lament_of_fensalir_i,effect_name,set,フリッグの嘆き I,Lament of Fensalir I,芬撒里爾的嘆息 I,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,divine-queen-bracelet-1-set-03,approved,
effect_paranoid_of_dark_knight,effect_name,set,暗黒騎士の執念,Paranoid of Dark Knight,黑暗騎士的執念,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dark-knight-gloves-1-set-03,approved,
effect_paranoid_of_dark_knight_i,effect_name,set,暗黒騎士の執念 I,Paranoid of Dark Knight I,黑暗騎士的執念 I,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,dark-knight-gloves-1-set-02,approved,
effect_pierced_moon_shadow,effect_name,set,ゆらめく月影,Pierced Moon Shadow,穿透的月影,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,burglar-ring-1-set-02,approved,
effect_pierced_moon_shadow_i,effect_name,set,ゆらめく月影 I,Pierced Moon Shadow I,穿透的月影 I,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,burglar-ring-1-set-03,approved,
effect_ruptured_moon_shadow,effect_name,set,裂かれた月影,Ruptured Moon Shadow,割裂的月影,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,burglar-ring-1-set-01,approved,
effect_ruptured_moon_shadow_i,effect_name,set,裂かれた月影 I,Ruptured Moon Shadow I,割裂的月影 I,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,burglar-ring-1-set-04,approved,
effect_tears_of_fensalir,effect_name,set,フリッグの涙,Tears of Fensalir,芬撒里爾的淚痕,,,,PATH_TO_EQUIPMENT_EFFECTS_final.csv:effect_name_*,divine-queen-bracelet-1-set-02,approved,
