segment_id,raw_ja,raw_en,raw_zh,category,subtype,source,source_row,notes
seg_000001,物理攻撃+39,PATK +39,物理攻擊+39,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000002,Dex+3,DEX +3,靈巧+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000003,魔法防御+2,MDEF +2,魔法防禦+2,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000004,Dexが10ポイント毎に,for every 10 points of DEX,每10點靈巧,condition_phrase,generic_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000005,物理攻撃+3,PATK +3,物理攻擊+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000006,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000007,Dex+3,DEX +3,靈巧+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000008,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000009,物理攻撃+15,PATK +15,物理攻擊+15,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,glove-2,
seg_000010,物理攻撃+39,PATK +39,物理攻擊+39,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000011,Luk+3,LUK +3,幸運+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000012,魔法防御+2,MDEF +2,魔法防禦+2,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000013,Lukが10ポイント毎に,for every 10 points of LUK,每10點幸運,condition_phrase,generic_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000014,物理攻撃+3,PATK +3,物理攻擊+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000015,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000016,Luk+3,LUK +3,幸運+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000017,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000018,物理攻撃+15,PATK +15,物理攻擊+15,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,rosary-2,
seg_000019,物理攻撃+39,PATK +39,物理攻擊+39,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000020,Agi+2,AGI +2,敏捷+2,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000021,魔法防御+2,MDEF +2,魔法防禦+2,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000022,Agiが10ポイント毎に,for every 10 points of AGI,每10點敏捷,condition_phrase,generic_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000023,物理攻撃+3,PATK +3,物理攻擊+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000024,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000025,Agi+3,AGI +3,敏捷+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000026,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000027,物理攻撃+15,PATK +15,物理攻擊+15,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,matyrs-leash-2,
seg_000028,魔法攻撃+39,MATK +39,魔法攻擊+39,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,sarahs-incense-bag-2,
seg_000029,Agi+1,AGI +1,敏捷+1,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,sarahs-incense-bag-2,
seg_000030,Int+2,INT +2,智力+2,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,sarahs-incense-bag-2,
seg_000031,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,sarahs-incense-bag-2,
seg_000032,物理攻撃+30,PATK +30,物理攻擊+30,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,sarahs-incense-bag-2,
seg_000033,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,sarahs-incense-bag-2,
seg_000034,魔法攻撃+30,MATK +30,魔法攻擊+30,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,sarahs-incense-bag-2,
seg_000035,物理攻撃+45,PATK +45,物理攻擊+45,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000036,クリティカル+3,CRIT +3,暴擊+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000037,魔法防御+2,MDEF +2,魔法防禦+2,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000038,精錬+5以上の時,Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000039,クリティカルダメージ+1%,CRIT DMG +1%,暴擊傷害+1%,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000040,精錬+10以上の時,Refine +10,精煉+10時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000041,クリティカルダメージ+2%,CRIT DMG +2%,暴擊傷害+2%,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000042,精錬+10以上の時,Refine +10,精煉+10時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000043,物理攻撃+20,PATK +20,物理攻擊+20,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,critical-ring-2,
seg_000044,物理攻撃+39,PATK +39,物理攻擊+39,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,ring-2,
seg_000045,Str+3,STR +3,力量+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,ring-2,
seg_000046,魔法防御+2,MDEF +2,魔法防禦+2,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,ring-2,
seg_000047,Strが10ポイント毎に,for every 10 points of STR,每10點力量,condition_phrase,generic_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,ring-2,
seg_000048,物理攻撃+3,PATK +3,物理攻擊+3,effect_phrase,generic_effect,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,ring-2,
seg_000049,精錬+5以上の時,For every Refine +5,精煉+5時,condition_phrase,refine_condition,PATH_TO_EQUIPMENT_ITEMS_final.csv:equipment_attributes,ring-2,subtype_conflict=refine_condition/generic_condition/refine_condition
